ticker,event,domain,won,snapshot_price,n_trades_before_snapshot,staleness_hours,at_floor,n_event_candidates,bucket
KXCABOUT-29JAN-JRAT,KXCABOUT-29JAN,Political,0,0.01,138,13.04,True,24,0
KXCABOUT-29JAN-JGRE,KXCABOUT-29JAN,Political,0,0.02,91,75.82,True,24,1
KXCABOUT-29JAN-HLUT,KXCABOUT-29JAN,Political,0,0.18,4905,0.75,False,24,3
KXCABOUT-29JAN-DCOL,KXCABOUT-29JAN,Political,0,0.02,78,24.77,True,24,1
KXCABOUT-29JAN-DBUR,KXCABOUT-29JAN,Political,0,0.02,72,6.57,True,24,1
KXCABOUT-29JAN-CWRI,KXCABOUT-29JAN,Political,0,0.03,183,41.64,False,24,1
KXCABOUT-29JAN-BROL,KXCABOUT-29JAN,Political,0,0.02,97,75.83,True,24,1
KXCALCOACH-26-TLUP,KXCALCOACH-26,Sports,1,0.84,45,2.64,False,4,8
KXCALCOACH-26-SLEW,KXCALCOACH-26,Sports,0,0.04,1,45.29,False,4,1
KXCALCOACH-26-NROL,KXCALCOACH-26,Sports,0,0.04,2,78.83,False,4,1
KXCALCOACH-26-JMOR,KXCALCOACH-26,Sports,0,0.02,3,75.6,True,4,1
KXCANADAPM-45-P,KXCANADAPM-45,Political,0,0.01,12,172.64,True,6,0
KXCANADAPM-45-ND,KXCANADAPM-45,Political,0,0.01,71,271.52,True,6,0
KXCANADAPM-45-L,KXCANADAPM-45,Political,1,0.8,4905,0.14,False,6,8
KXCANADAPM-45-G,KXCANADAPM-45,Political,0,0.01,20,366.26,True,6,0
KXCANADAPM-45-C,KXCANADAPM-45,Political,0,0.2,5971,0.05,False,6,4
KXCANADAPM-45-BQ,KXCANADAPM-45,Political,0,0.01,74,49.88,True,6,0
KXCANCOALITION-30-LMINOR,KXCANCOALITION-30,Political,1,0.94,3957,0.3,False,6,8
KXCANCOALITION-30-L,KXCANCOALITION-30,Political,0,0.02,7799,0.35,True,6,1
KXCANCOALITION-30-CMINOR,KXCANCOALITION-30,Political,0,0.01,1380,14.94,True,6,0
KXCANCOALITION-30-LNDPS,KXCANCOALITION-30,Political,0,0.01,1378,0.17,True,6,0
KXCANCOALITION-30-LNDP,KXCANCOALITION-30,Political,0,0.01,714,35.13,True,6,0
