event_ticker,category,domain,n_sub_markets,total_trades,resolution_or_close_time
KXTX31R-26,Political,Political,5,31157.0,2026-03-06T05:23:28+00:00
KXTX34R-26,Political,Political,4,11018.0,2026-03-06T05:25:18+00:00
KXTXPRIMARY-08R26,Political,Political,6,3721.0,2026-03-06T02:55:28+00:00
KXTXPRIMARY-09D26,Political,Political,6,29165.0,2026-03-06T02:56:08+00:00
KXTXPRIMARY-10R26,Political,Political,10,23763.0,2026-03-06T02:57:34+00:00
KXTXPRIMARY-22D26,Political,Political,5,3297.0,2026-03-06T05:10:28+00:00
KXTXPRIMARY-23D26,Political,Political,4,9287.0,2026-03-06T05:14:48+00:00
KXTXSENDPRIMARYMOV-26MAR03,Political,Political,11,5475015.0,2026-03-21T00:23:50+00:00
KXTXSENRPRIMARYMOV-26MAR03,Political,Political,9,391346.0,2026-03-21T00:19:20+00:00
KXUABCOACH-26,Sports,Sports,10,32371.0,2025-12-05T15:38:38+00:00
KXUCLACOACH-26,Sports,Sports,17,205446.0,2025-12-08T17:25:57+00:00
KXUNAMB-26DEC31,Political,Political,7,9029.0,2025-09-22T03:49:20+00:00
KXUNTCOACH-26,Sports,Sports,12,9548.0,2025-12-03T01:40:31+00:00
KXUSTR-26DEC31,Political,Political,4,84785.0,2025-02-26T18:58:36+00:00
KXVAAGMOV-25NOV04,Political,Political,10,408876.0,2025-12-02T00:48:20+00:00
KXVAHOD1-26NOV04,Political,Political,8,9725.0,2025-12-02T00:49:30+00:00
KXVIRGINIAHOUSEDEMS-25NOV04,Political,Political,10,23585.0,2025-12-02T00:48:58+00:00
KXVTCOACH-26,Sports,Sports,10,422675.0,2025-11-18T02:19:36+00:00
